frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
160,2.6667,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
161,2.6833,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
162,2.7,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
163,2.7167,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
164,2.7333,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
165,2.75,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
166,2.7667,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
167,2.7833,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
168,2.8,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
169,2.8167,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
170,2.8333,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
171,2.85,655,464,1118,535,575,1109,472,578,1049,531,578,1108,1068,568,1635,617,494,1110,37,796,832,159
172,2.8667,654,464,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
173,2.8833,654,464,1117,534,575,1108,472,577,1048,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
174,2.9,654,464,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
175,2.9167,654,464,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
176,2.9333,646,472,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
177,2.95,646,472,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
